state,county,candidate,Party,votes
Illinois,Wabash County,Dick Durbin,D,1276
Illinois,Warren County,Dick Durbin,D,3049
Illinois,Washington County,Dick Durbin,D,1914
Illinois,Wayne County,Dick Durbin,D,1401
Illinois,White County,Dick Durbin,D,1686
Illinois,Whiteside County,Dick Durbin,D,12502
Illinois,Will County,Mark Curran,R,144816
Illinois,Williamson County,Dick Durbin,D,11473
Illinois,Winnebago County,Mark Curran,R,60473
Illinois,Woodford County,Dick Durbin,D,6276
Illinois,Cook Suburbs,Mark Curran,R,347189
Iowa,Adair County,Theresa Greenfield,D,1207
Iowa,Adams County,Theresa Greenfield,D,594
Iowa,Allamakee County,Theresa Greenfield,D,2602
Iowa,Appanoose County,Theresa Greenfield,D,1956
Iowa,Audubon County,Theresa Greenfield,D,1092
Iowa,Benton County,Theresa Greenfield,D,5202
Iowa,Black Hawk County,Joni Ernst,R,29222
Iowa,Boone County,Theresa Greenfield,D,6316
Iowa,Bremer County,Theresa Greenfield,D,5911
Iowa,Buchanan County,Theresa Greenfield,D,4292
Iowa,Buena Vista County,Theresa Greenfield,D,3022
Iowa,Butler County,Theresa Greenfield,D,2474
Iowa,Calhoun County,Theresa Greenfield,D,1531
Iowa,Carroll County,Theresa Greenfield,D,3580
Iowa,Cass County,Theresa Greenfield,D,2259
Iowa,Cedar County,Theresa Greenfield,D,4300
Iowa,Cerro Gordo County,Joni Ernst,R,11339
Iowa,Cherokee County,Theresa Greenfield,D,2002
Iowa,Chickasaw County,Theresa Greenfield,D,2324
Iowa,Clarke County,Theresa Greenfield,D,1520
Iowa,Clay County,Theresa Greenfield,D,2861
Iowa,Clayton County,Theresa Greenfield,D,3434
Iowa,Clinton County,Theresa Greenfield,D,10942
Iowa,Crawford County,Theresa Greenfield,D,2336
Iowa,Dallas County,Theresa Greenfield,D,25427
Iowa,Davis County,Theresa Greenfield,D,1167
Iowa,Decatur County,Theresa Greenfield,D,1165
Iowa,Delaware County,Theresa Greenfield,D,3235
Iowa,Des Moines County,Theresa Greenfield,D,9296
Iowa,Dickinson County,Theresa Greenfield,D,3791
Iowa,Dubuque County,Theresa Greenfield,D,25433
Iowa,Emmet County,Theresa Greenfield,D,1637
Iowa,Fayette County,Theresa Greenfield,D,3912
Iowa,Floyd County,Theresa Greenfield,D,3498
Iowa,Franklin County,Theresa Greenfield,D,1639
Iowa,Fremont County,Theresa Greenfield,D,1099
Iowa,Greene County,Theresa Greenfield,D,1784
Iowa,Grundy County,Theresa Greenfield,D,2120
Iowa,Guthrie County,Theresa Greenfield,D,2000
Iowa,Hamilton County,Theresa Greenfield,D,2913
Iowa,Hancock County,Theresa Greenfield,D,1881
Iowa,Hardin County,Theresa Greenfield,D,2920
Iowa,Harrison County,Theresa Greenfield,D,2574
Iowa,Henry County,Theresa Greenfield,D,3457
Iowa,Howard County,Theresa Greenfield,D,2014
Iowa,Humboldt County,Theresa Greenfield,D,1443
Iowa,Ida County,Theresa Greenfield,D,964
Iowa,Iowa County,Theresa Greenfield,D,3541
Iowa,Jackson County,Theresa Greenfield,D,4249
Iowa,Jasper County,Theresa Greenfield,D,7905
Iowa,Jefferson County,Joni Ernst,R,4008
Iowa,Johnson County,Joni Ernst,R,23773
Iowa,Jones County,Theresa Greenfield,D,4237
Iowa,Keokuk County,Theresa Greenfield,D,1489
Iowa,Kossuth County,Theresa Greenfield,D,2799
Iowa,Lee County,Theresa Greenfield,D,7445
Iowa,Linn County,Joni Ernst,R,53248
Iowa,Louisa County,Theresa Greenfield,D,1804
Iowa,Lucas County,Theresa Greenfield,D,1302
Iowa,Lyon County,Theresa Greenfield,D,1073
Iowa,Madison County,Theresa Greenfield,D,3168
Iowa,Mahaska County,Theresa Greenfield,D,2969
Iowa,Marion County,Theresa Greenfield,D,6269
Iowa,Marshall County,Theresa Greenfield,D,8187
Iowa,Mills County,Theresa Greenfield,D,2544
Iowa,Mitchell County,Theresa Greenfield,D,2282
Iowa,Monona County,Theresa Greenfield,D,1455
Iowa,Monroe County,Theresa Greenfield,D,1148
Iowa,Montgomery County,Theresa Greenfield,D,1520
Iowa,Muscatine County,Theresa Greenfield,D,9381
Iowa,O'Brien County,Theresa Greenfield,D,1640
Iowa,Osceola County,Theresa Greenfield,D,657
Iowa,Page County,Theresa Greenfield,D,2067
Iowa,Palo Alto County,Theresa Greenfield,D,1677
Iowa,Plymouth County,Theresa Greenfield,D,3587
Iowa,Pocahontas County,Theresa Greenfield,D,1003
Iowa,Polk County,Joni Ernst,R,106443
Iowa,Pottawattamie County,Theresa Greenfield,D,18520
Iowa,Poweshiek County,Theresa Greenfield,D,4381
Iowa,Ringgold County,Theresa Greenfield,D,732
Iowa,Sac County,Theresa Greenfield,D,1440
Iowa,Scott County,Joni Ernst,R,42941
Iowa,Shelby County,Theresa Greenfield,D,1989
Iowa,Sioux County,Theresa Greenfield,D,2828
Iowa,Story County,Joni Ernst,R,20750
Iowa,Tama County,Theresa Greenfield,D,3588
Iowa,Taylor County,Theresa Greenfield,D,762
Iowa,Union County,Theresa Greenfield,D,2051
Iowa,Van Buren County,Theresa Greenfield,D,1065
Iowa,Wapello County,Theresa Greenfield,D,6344
Iowa,Warren County,Theresa Greenfield,D,12478
Iowa,Washington County,Theresa Greenfield,D,4519
Iowa,Wayne County,Theresa Greenfield,D,784
Iowa,Webster County,Theresa Greenfield,D,6845
Iowa,Winnebago County,Theresa Greenfield,D,2361
Iowa,Winneshiek County,Theresa Greenfield,D,5581
Iowa,Woodbury County,Theresa Greenfield,D,18674
Iowa,Worth County,Theresa Greenfield,D,1803
Iowa,Wright County,Theresa Greenfield,D,2063
Kansas,Allen County,Barbara Bollier,D,1686
Kansas,Anderson County,Barbara Bollier,D,824
Kansas,Atchison County,Barbara Bollier,D,2393
Kansas,Barber County,Barbara Bollier,D,321
Kansas,Barton County,Barbara Bollier,D,2441
Kansas,Bourbon County,Barbara Bollier,D,1654
Kansas,Brown County,Barbara Bollier,D,1181
Kansas,Butler County,Barbara Bollier,D,9375
Kansas,Chase County,Barbara Bollier,D,388
Kansas,Chautauqua County,Barbara Bollier,D,225
Kansas,Cherokee County,Barbara Bollier,D,2332
Kansas,Cheyenne County,Barbara Bollier,D,237
Kansas,Clark County,Barbara Bollier,D,164
Kansas,Clay County,Barbara Bollier,D,920
Kansas,Cloud County,Barbara Bollier,D,916
Kansas,Coffey County,Barbara Bollier,D,994
Kansas,Comanche County,Barbara Bollier,D,153
Kansas,Cowley County,Barbara Bollier,D,4457
Kansas,Crawford County,Barbara Bollier,D,6494
Kansas,Decatur County,Barbara Bollier,D,220
Kansas,Dickinson County,Barbara Bollier,D,2212
Kansas,Doniphan County,Barbara Bollier,D,667
Kansas,Douglas County,Roger Marshall,R,16056
Kansas,Edwards County,Barbara Bollier,D,263
Kansas,Elk County,Barbara Bollier,D,225
Kansas,Ellis County,Barbara Bollier,D,3797
Kansas,Ellsworth County,Barbara Bollier,D,712
Kansas,Finney County,Barbara Bollier,D,4085
Kansas,Ford County,Barbara Bollier,D,2932
Kansas,Franklin County,Barbara Bollier,D,3638
Kansas,Geary County,Barbara Bollier,D,3806
Kansas,Gove County,Barbara Bollier,D,206
Kansas,Graham County,Barbara Bollier,D,249
Kansas,Grant County,Barbara Bollier,D,515
Kansas,Gray County,Barbara Bollier,D,349
Kansas,Greeley County,Barbara Bollier,D,96
Kansas,Greenwood County,Barbara Bollier,D,644
Kansas,Hamilton County,Barbara Bollier,D,150
Kansas,Harper County,Barbara Bollier,D,536
Kansas,Harvey County,Barbara Bollier,D,6857
Kansas,Haskell County,Barbara Bollier,D,278
Kansas,Hodgeman County,Barbara Bollier,D,176
Kansas,Jackson County,Barbara Bollier,D,1997
Kansas,Jefferson County,Barbara Bollier,D,3257
Kansas,Jewell County,Barbara Bollier,D,238
Kansas,Johnson County,Roger Marshall,R,152068
Kansas,Kearny County,Barbara Bollier,D,270
Kansas,Kingman County,Barbara Bollier,D,838
Kansas,Kiowa County,Barbara Bollier,D,153
Kansas,Labette County,Barbara Bollier,D,2750
Kansas,Lane County,Barbara Bollier,D,134
Kansas,Leavenworth County,Barbara Bollier,D,13771
Kansas,Lincoln County,Barbara Bollier,D,295
Kansas,Linn County,Barbara Bollier,D,960
Kansas,Logan County,Barbara Bollier,D,215
Kansas,Lyon County,Barbara Bollier,D,5997
Kansas,McPherson County,Barbara Bollier,D,4208
Kansas,Marion County,Barbara Bollier,D,1543
Kansas,Marshall County,Barbara Bollier,D,1305
Kansas,Meade County,Barbara Bollier,D,288
Kansas,Miami County,Barbara Bollier,D,5309
Kansas,Mitchell County,Barbara Bollier,D,574
Kansas,Montgomery County,Barbara Bollier,D,3144
Kansas,Morris County,Barbara Bollier,D,827
Kansas,Morton County,Barbara Bollier,D,161
Kansas,Nemaha County,Barbara Bollier,D,1051
Kansas,Neosho County,Barbara Bollier,D,1867
Kansas,Ness County,Barbara Bollier,D,168
Kansas,Norton County,Barbara Bollier,D,378
Kansas,Osage County,Barbara Bollier,D,2257
Kansas,Osborne County,Barbara Bollier,D,328
Kansas,Ottawa County,Barbara Bollier,D,563
Kansas,Pawnee County,Barbara Bollier,D,676
Kansas,Phillips County,Barbara Bollier,D,436
Kansas,Pottawatomie County,Barbara Bollier,D,3370
Kansas,Pratt County,Barbara Bollier,D,1002
Kansas,Rawlins County,Barbara Bollier,D,226
Kansas,Reno County,Barbara Bollier,D,8968
Kansas,Republic County,Barbara Bollier,D,428
Kansas,Rice County,Barbara Bollier,D,1035
Kansas,Riley County,Roger Marshall,R,10913
Kansas,Rooks County,Barbara Bollier,D,375
Kansas,Rush County,Barbara Bollier,D,310
Kansas,Russell County,Barbara Bollier,D,656
Kansas,Saline County,Barbara Bollier,D,8478
Kansas,Scott County,Barbara Bollier,D,317
