state,county,candidate,Party,votes,won
Idaho,Bonner County,Donald Trump,R,18369,True
Idaho,Bonner County,Joe Biden,D,8310,False
Idaho,Bonneville County,Donald Trump,R,37805,True
Idaho,Bonneville County,Joe Biden,D,14254,False
Idaho,Boundary County,Donald Trump,R,4937,True
Idaho,Boundary County,Joe Biden,D,1220,False
Idaho,Butte County,Donald Trump,R,1202,True
Idaho,Butte County,Joe Biden,D,188,False
Idaho,Camas County,Donald Trump,R,507,True
Idaho,Camas County,Joe Biden,D,149,False
Idaho,Canyon County,Donald Trump,R,61759,True
Idaho,Canyon County,Joe Biden,D,25881,False
Idaho,Caribou County,Donald Trump,R,2906,True
Idaho,Caribou County,Joe Biden,D,431,False
Idaho,Cassia County,Donald Trump,R,7907,True
Idaho,Cassia County,Joe Biden,D,1464,False
Idaho,Clark County,Donald Trump,R,264,True
Idaho,Clark County,Joe Biden,D,41,False
Idaho,Clearwater County,Donald Trump,R,3453,True
Idaho,Clearwater County,Joe Biden,D,877,False
Idaho,Custer County,Donald Trump,R,2089,True
Idaho,Custer County,Joe Biden,D,603,False
Idaho,Elmore County,Donald Trump,R,7246,True
Idaho,Elmore County,Joe Biden,D,2601,False
Idaho,Franklin County,Donald Trump,R,5845,True
Idaho,Franklin County,Joe Biden,D,657,False
Idaho,Fremont County,Donald Trump,R,5548,True
Idaho,Fremont County,Joe Biden,D,998,False
Idaho,Gem County,Donald Trump,R,7951,True
Idaho,Gem County,Joe Biden,D,1803,False
Idaho,Gooding County,Donald Trump,R,4659,True
Idaho,Gooding County,Joe Biden,D,1256,False
Idaho,Idaho County,Donald Trump,R,7826,True
Idaho,Idaho County,Joe Biden,D,1561,False
Idaho,Jefferson County,Donald Trump,R,12099,True
Idaho,Jefferson County,Joe Biden,D,1661,False
Idaho,Jerome County,Donald Trump,R,5734,True
Idaho,Jerome County,Joe Biden,D,1893,False
Idaho,Kootenai County,Donald Trump,R,62837,True
Idaho,Kootenai County,Joe Biden,D,24312,False
Idaho,Latah County,Joe Biden,D,10236,True
Idaho,Latah County,Donald Trump,R,9472,False
Idaho,Lemhi County,Donald Trump,R,3592,True
Idaho,Lemhi County,Joe Biden,D,1032,False
Idaho,Lewis County,Donald Trump,R,1489,True
Idaho,Lewis County,Joe Biden,D,349,False
Idaho,Lincoln County,Donald Trump,R,1469,True
Idaho,Lincoln County,Joe Biden,D,414,False
Idaho,Madison County,Donald Trump,R,13559,True
Idaho,Madison County,Joe Biden,D,2666,False
Idaho,Minidoka County,Donald Trump,R,6265,True
Idaho,Minidoka County,Joe Biden,D,1550,False
Idaho,Nez Perce County,Donald Trump,R,13738,True
Idaho,Nez Perce County,Joe Biden,D,6686,False
