state,county,candidate,Party,votes,won
Montana,Mineral County,Greg Gianforte,R,1715,True
Montana,Mineral County,Mike Cooney,D,706,False
Montana,Missoula County,Mike Cooney,D,43426,True
Montana,Missoula County,Greg Gianforte,R,25448,False
Montana,Musselshell County,Greg Gianforte,R,2318,True
Montana,Musselshell County,Mike Cooney,D,450,False
Montana,Park County,Greg Gianforte,R,5798,True
Montana,Park County,Mike Cooney,D,5364,False
Montana,Petroleum County,Greg Gianforte,R,299,True
Montana,Petroleum County,Mike Cooney,D,44,False
Montana,Phillips County,Greg Gianforte,R,1908,True
Montana,Phillips County,Mike Cooney,D,412,False
Montana,Pondera County,Greg Gianforte,R,1981,True
Montana,Pondera County,Mike Cooney,D,912,False
Montana,Powder River County,Greg Gianforte,R,943,True
Montana,Powder River County,Mike Cooney,D,162,False
Montana,Powell County,Greg Gianforte,R,2212,True
Montana,Powell County,Mike Cooney,D,849,False
Montana,Prairie County,Greg Gianforte,R,544,True
Montana,Prairie County,Mike Cooney,D,160,False
Montana,Ravalli County,Greg Gianforte,R,18557,True
Montana,Ravalli County,Mike Cooney,D,8883,False
Montana,Richland County,Greg Gianforte,R,4506,True
Montana,Richland County,Mike Cooney,D,1017,False
Montana,Roosevelt County,Mike Cooney,D,1961,True
Montana,Roosevelt County,Greg Gianforte,R,1859,False
Montana,Rosebud County,Greg Gianforte,R,2363,True
Montana,Rosebud County,Mike Cooney,D,1236,False
Montana,Sanders County,Greg Gianforte,R,5346,True
Montana,Sanders County,Mike Cooney,D,1870,False
Montana,Sheridan County,Greg Gianforte,R,1300,True
Montana,Sheridan County,Mike Cooney,D,634,False
Montana,Silver Bow County,Mike Cooney,D,11495,True
Montana,Silver Bow County,Greg Gianforte,R,6490,False
Montana,Stillwater County,Greg Gianforte,R,4292,True
Montana,Stillwater County,Mike Cooney,D,1263,False
Montana,Sweet Grass County,Greg Gianforte,R,1801,True
Montana,Sweet Grass County,Mike Cooney,D,553,False
Montana,Teton County,Greg Gianforte,R,2497,True
Montana,Teton County,Mike Cooney,D,1053,False
Montana,Toole County,Greg Gianforte,R,1546,True
Montana,Toole County,Mike Cooney,D,468,False
Montana,Treasure County,Greg Gianforte,R,358,True
Montana,Treasure County,Mike Cooney,D,89,False
Montana,Valley County,Greg Gianforte,R,2899,True
Montana,Valley County,Mike Cooney,D,1182,False
Montana,Wheatland County,Greg Gianforte,R,767,True
Montana,Wheatland County,Mike Cooney,D,251,False
Montana,Wibaux County,Greg Gianforte,R,465,True
Montana,Wibaux County,Mike Cooney,D,105,False
Montana,Yellowstone County,Greg Gianforte,R,48586,True
Montana,Yellowstone County,Mike Cooney,D,31152,False
New Hampshire,Alton,Chris Sununu,R,3093,True
New Hampshire,Alton,Dan Feltes,D,757,False
New Hampshire,Barnstead,Chris Sununu,R,2181,True
New Hampshire,Barnstead,Dan Feltes,D,662,False
New Hampshire,Belmont,Chris Sununu,R,3133,True
New Hampshire,Belmont,Dan Feltes,D,813,False
New Hampshire,Center Harbor,Chris Sununu,R,552,True
New Hampshire,Center Harbor,Dan Feltes,D,224,False
New Hampshire,Gilford,Chris Sununu,R,3796,True
